county,county_fips,agency_type,agency_name,street,city,match_status,match_type,matched_address,longitude,latitude,tiger_line_id,side,needs_manual_review,review_reason
Albany,36001,ambulance_als,"Air Methods LLC, wholly owned subsidiary Rocky Mtn Holdings LLC",6 Old School Road,"Selkirk, NY 12158",Match,Exact,"6 OLD SCHOOL RD, SELKIRK, NY, 12158",-73.835020012838,42.565097590338,18314975,L,False,
Albany,36001,ambulance_als,Albany County Sheriff's Department Advanced Life Support,PO Box 315,"Voorheesville, NY 12186",No_Match,,,,,,,True,PO Box address -- Census geocoder cannot resolve to a street point
Albany,36001,ambulance_als,Albany County Sheriff's Office EMS Unit,PO Box 315,"Voorheesville, NY 12186",No_Match,,,,,,,True,PO Box address -- Census geocoder cannot resolve to a street point
Albany,36001,ambulance_als,"Albany, City of",26 Broad Street,"Albany, NY 12202",Match,Exact,"26 BROAD ST, ALBANY, NY, 12202",-73.757759785512,42.641482570276,18319365,L,False,
Albany,36001,ambulance_als,"Albany-Schenectady-Greene Co. Ag. Societies, Inc.",PO Box 506,"Altamont, NY 12009",No_Match,,,,,,,True,PO Box address -- Census geocoder cannot resolve to a street point
Albany,36001,ambulance_als,"Bethlehem, Town of",PO Box 508,"Delmar, NY 12054",No_Match,,,,,,,True,PO Box address -- Census geocoder cannot resolve to a street point
Albany,36001,ambulance_als,"Colonie Emergency Medical Services, Town of",312 Wolf Road,"Latham, NY 12110",Match,Exact,"312 WOLF RD, LATHAM, NY, 12110",-73.792169992465,42.735153533306,18360119,L,False,
Albany,36001,ambulance_als,"Delmar Volunteer Ambulance Service, Inc.",PO Box 508,"Delmar, NY 12054",No_Match,,,,,,,True,PO Box address -- Census geocoder cannot resolve to a street point
Albany,36001,ambulance_als,"Five Quad Volunteer Ambulance Service, Inc.",1400 Washington Avenue,"Albany, NY 12222",Match,Exact,"1400 WASHINGTON AVE, ALBANY, NY, 12222",-73.826464265994,42.692073432594,643205839,L,False,
Albany,36001,ambulance_als,"Green Island, Village of",7 Clinton Street,"Green Island, NY 12183",Match,Exact,"7 CLINTON ST, GREEN ISLAND, NY, 12183",-73.693216748408,42.742134947776,18313771,L,False,
